,YEAR,FACILITY_NAME,FEDERAL_FACILITY,PARENT_COMPANY_NAME,INDUSTRY_SECTOR,ZIP,STATE,CITY,COUNTY,LATITUDE,LONGITUDE,CHEMICAL,UNIT_OF_MEASURE,CARCINOGEN,CAA_CHEMICAL,TOTAL_RELEASES,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,ON_SITE_RECYCLED_TOTAL,ONE_TIME_RELEASES
0,2004,SOUTH ATLANTIC GALVANIZING,NO,SOUTH ATLANTIC LLC,Fabricated Metals,27253,NC,GRAHAM,ALAMANCE,35.99601,-79.28938,LEAD,Pounds,YES,YES,155.0,155.0,0.0,3500.0,0.0,0.0
1,2004,BROYHILL FURNITURE INDUSTRIES INC CONOVER PLANT,NO,FURNITURE BRANDS INTERNATIONAL INC,Furniture,28613,NC,CONOVER,CATAWBA,35.7071,-81.222102,CERTAIN GLYCOL ETHERS,Pounds,NO,YES,17005.8,17005.8,0.0,0.0,0.0,0.0
2,2004,STARPET INC,NO,,Chemicals,27203,NC,ASHEBORO,RANDOLPH,35.77262,-79.82243,ETHYLENE GLYCOL,Pounds,NO,YES,10476.0,10026.0,450.0,114520.0,0.0,0.0
3,2004,EASTERN MINERALS INC,NO,,Food,27537,NC,HENDERSON,VANCE,36.27084,-78.40468,COPPER COMPOUNDS,Pounds,NO,NO,250.0,250.0,0.0,0.0,500.0,0.0
4,2004,BROYHILL FURNITURE INDUSTRIES INC VIRGINIA STREET COMPLEX,NO,FURNITURE BRANDS INTERNATIONAL INC,Furniture,28645,NC,LENOIR,CALDWELL,35.90273,-81.55306,TOLUENE,Pounds,NO,YES,53160.0,53160.0,0.0,0.0,983.38,0.0
5,2004,SHERRILL FURNITURE CO,NO,,Furniture,286010189,NC,HICKORY,CATAWBA,35.73215,-81.28905,LEAD COMPOUNDS,Pounds,NO,YES,16.61,0.018,16.592,11.061,0.0,0.0
6,2004,WEST FRASER ARMOUR LUMBER MILL,NO,WEST FRASER TIMBER CO LTD,Wood Products,28456,NC,RIEGELWOOD,COLUMBUS,34.34109,-78.26779,DIOXIN AND DIOXIN-LIKE COMPOUNDS,Grams,NO,YES,0.1058009,0.1,0.0058009,0.0,0.0,0.0
7,2004,THOMAS BUILT BUSES INC,NO,DAIMLER TRUCKS N.A. LLC,Transportation Equipment,27263,NC,HIGH POINT,GUILFORD,35.92105,-79.99797,TOLUENE,Pounds,NO,YES,11747.0,11747.0,0.0,0.0,1594.0,0.0
8,2004,LEWISTON PROCESSING PLANT,NO,PERDUE FARMS INC,Food,27849,NC,LEWISTON WOODVILLE,BERTIE,36.14189,-77.21939,AMMONIA,Pounds,NO,NO,9970.0,9970.0,0.0,0.0,0.0,0.0
9,2004,PIEDMONT CHEMICAL INDUSTRIES I LLC,NO,PIEDMONT CHEMICAL INDUSTRIES INC,Chemicals,27262,NC,HIGH POINT,GUILFORD,35.93713,-80.03369,MERCURY,Pounds,NO,YES,10.0,10.0,0.0,10.0,0.0,0.0
10,2004,LUBRIZOL,NO,BERKSHIRE HATHAWAY INC,Chemicals,28056,NC,GASTONIA,GASTON,35.20132,-81.20716,"1,3-BUTADIENE",Pounds,YES,YES,4511.0,4511.0,0.0,0.0,0.0,0.0
11,2004,LUBRIZOL,NO,BERKSHIRE HATHAWAY INC,Chemicals,28056,NC,GASTONIA,GASTON,35.20132,-81.20716,ACRYLAMIDE,Pounds,YES,YES,2.0,2.0,0.0,0.0,0.0,0.0
12,2004,INVISTA SA RL-WILMINGTON,NO,KOCH INDUSTRIES INC,Chemicals,28401,NC,WILMINGTON,NEW HANOVER,34.313566,-77.98055,ETHYLENE GLYCOL,Pounds,NO,YES,1000.0,1000.0,0.0,0.0,0.0,0.0
13,2004,INVISTA SA RL-WILMINGTON,NO,KOCH INDUSTRIES INC,Chemicals,28401,NC,WILMINGTON,NEW HANOVER,34.313566,-77.98055,FORMIC ACID,Pounds,NO,NO,130755.0,130755.0,0.0,0.0,0.0,0.0
14,2004,BROYHILL FURNITURE INDUSTRIES INC CONOVER PLANT,NO,FURNITURE BRANDS INTERNATIONAL INC,Furniture,28613,NC,CONOVER,CATAWBA,35.7071,-81.222102,TOLUENE,Pounds,NO,YES,23008.8,23008.8,0.0,0.0,0.0,0.0
15,2004,GEORGIA-PACIFIC WOOD PRODUCTS LLC  (WHITEVILLE NC),NO,GEORGIA-PACIFIC BUILDING PRODUCTS LLC,Wood Products,28472,NC,WHITEVILLE,COLUMBUS,34.32,-78.769997,DIOXIN AND DIOXIN-LIKE COMPOUNDS,Grams,NO,YES,0.18426,0.18426,0.0,0.0,0.0,0.0
16,2004,KAPSTONE KRAFT PAPER CORP,NO,KAPSTONE PAPER & PACKAGING CORP,Paper,27870,NC,ROANOKE RAPIDS,HALIFAX,36.476037,-77.643173,PHENOL,Pounds,NO,YES,564.0,562.0,2.0,0.0,0.0,0.0
17,2004,ROANOKE VALLEY ENERGY FACILITY,NO,WESTMORELAND PARTNERS LLC,Electric Utilities,27890,NC,WELDON,HALIFAX,36.436734,-77.617185,COPPER COMPOUNDS,Pounds,NO,NO,23032.0,18.0,23014.0,0.0,0.0,0.0
18,2004,LINAMAR FORGING CAROLINA,NO,LINAMAR CORP,Fabricated Metals,27893,NC,WILSON,WILSON,35.69497,-77.89056,METHANOL,Pounds,NO,YES,2938.0,2938.0,0.0,0.0,0.0,0.0
19,2004,"MESTEK, INC. STERLING HEATING DIV",NO,MESTEK INC (WESTFIELD MA),Machinery,27828,NC,FARMVILLE,PITT,35.58375,-77.600416,CHROMIUM,Pounds,YES,YES,31.06,31.06,0.0,9640.0,0.0,0.0
20,2004,CONTINENTAL STRUCTURAL PLASTICS LLC-SALISBURY,NO,CONTINENTAL STRUCTURAL PLASTICS,Transportation Equipment,28147,NC,SALISBURY,ROWAN,35.72032,-80.60932,DICYCLOPENTADIENE,Pounds,NO,NO,81.41,81.41,0.0,0.0,0.0,0.0
21,2004,COCHRANE FURNITURE CO,NO,CR HOME,Furniture,28092,NC,LINCOLNTON,LINCOLN,35.49491,-81.25504,N-BUTYL ALCOHOL,Pounds,NO,NO,26385.0,26385.0,0.0,0.0,0.0,0.0
22,2004,DEERE-HITACHI CONSTRUCTION MACHINERY CORP,NO,DEERE-HITACHI CONSTRUCTION MACHINERY CORP,Machinery,27284,NC,KERNERSVILLE,FORSYTH,36.13486,-80.09163,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,0.2400094,0.2400094,0.0,0.0,0.0,0.0
23,2004,DUKE ENERGY CAROLINAS LLC - BELEWS CREEK STEAM STATION,NO,DUKE ENERGY CORP,Electric Utilities,27052,NC,WALNUT COVE,STOKES,36.281338,-80.059438,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),Pounds,NO,YES,19201.0,19201.0,0.0,0.0,0.0,0.0
24,2004,U.S. ARMY FORT BRAGG,YES,US DEPARTMENT OF DEFENSE,Other,28310,NC,FORT BRAGG,CUMBERLAND,35.15705,-79.00036,HEXACHLOROBENZENE,Pounds,YES,YES,0.0,0.0,0.0,0.0,0.0,0.0
25,2004,UNILIN US MDF,NO,,Wood Products,27306,NC,MOUNT GILEAD,MONTGOMERY,35.251428,-79.974688,STYRENE,Pounds,YES,YES,750.0,750.0,0.0,0.0,0.0,0.0
26,2004,BAJA MARINE,NO,,Transportation Equipment,27889,NC,WASHINGTON,BEAUFORT,35.522116,-77.04755,METHYL METHACRYLATE,Pounds,NO,YES,15400.0,15400.0,0.0,0.0,0.0,0.0
27,2004,BAJA MARINE,NO,,Transportation Equipment,27889,NC,WASHINGTON,BEAUFORT,35.522116,-77.04755,STYRENE,Pounds,YES,YES,105400.0,105400.0,0.0,0.0,0.0,0.0
28,2004,SAFETY-KLEEN SYSTEMS SAINT PAULS (STP),NO,CLEAN HARBORS INC,Hazardous Waste,28384,NC,SAINT PAULS,ROBESON,34.817116,-78.974865,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,0.0,0.0,0.0,3300.8,0.0,0.0
29,2004,THE PROCTER & GAMBLE MANUFACTURING CO,NO,THE PROCTER & GAMBLE CO,Chemicals,27409,NC,GREENSBORO,GUILFORD,36.07403,-79.91006,NITRIC ACID,Pounds,NO,NO,5.94,5.94,0.0,0.0,0.0,0.0
30,2004,DUKE ENERGY PROGRESS LLC-ASHEVILLE STEAM ELECTRIC PLANT,NO,DUKE ENERGY CORP,Electric Utilities,28704,NC,ARDEN,BUNCOMBE,35.471596,-82.542194,BARIUM COMPOUNDS,Pounds,NO,NO,151703.66,151700.6,3.06,0.03,0.0,0.0
31,2004,WIX FILTRATION CORP - ALLEN PLANT,NO,AFFINIA GROUP INC,Transportation Equipment,28052,NC,GASTONIA,GASTON,35.27638,-81.22267,POLYCYCLIC AROMATIC COMPOUNDS,Pounds,YES,YES,593.1,539.1,54.0,0.0,0.0,0.0
32,2004,DUKE ENERGY PROGRESS LLC - L V SUTTON ENERGY COMPLEX,NO,DUKE ENERGY CORP,Electric Utilities,28401,NC,WILMINGTON,NEW HANOVER,34.283317,-77.985226,DIOXIN AND DIOXIN-LIKE COMPOUNDS,Grams,NO,YES,0.61,0.61,0.0,0.0,0.0,0.0
33,2004,PARKER HANNIFIN TECH SEAL DIV,NO,PARKER HANNIFIN CORP,Plastics and Rubber,27893,NC,WILSON,WILSON,35.69035,-77.91035,CERTAIN GLYCOL ETHERS,Pounds,NO,YES,49.0,49.0,0.0,6166.0,4229.0,0.0
34,2004,BRENNTAG MID-SOUTH,NO,BRENNTAG N.A. INC,Chemical Wholesalers,27703,NC,DURHAM,DURHAM,35.97995,-78.88007,AMMONIA,Pounds,NO,NO,1368.0,1368.0,0.0,0.0,0.0,0.0
35,2004,BRENNTAG MID-SOUTH,NO,BRENNTAG N.A. INC,Chemical Wholesalers,27703,NC,DURHAM,DURHAM,35.97995,-78.88007,CYCLOHEXANE,Pounds,NO,NO,802.0,52.0,750.0,0.0,0.0,0.0
36,2004,GENERAL SHALE BRICK INC MONCURE FACILITY PLANTS 24 & 25,NO,GENERAL SHALE BRICK INC,Nonmetallic Mineral Product,27559,NC,MONCURE,CHATHAM,35.57239,-79.03505,HYDROGEN FLUORIDE,Pounds,NO,YES,113709.0,113709.0,0.0,0.0,0.0,0.0
