YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER
2015,27709JMCSNONEIN,1.10012E+11,JMC (USA) INC,ONE INNOVATION DR,RESEARCH TRIANGLE PARK,DURHAM,NC,27709,,,35.87595,-78.88483,NO,331,Primary Metals,,,,,,,331410,,,,,,1.31521E+12,NITRIC ACID,7697372,152686,NO,TRI,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,JAPAN METALS & CHEMICALS CO LTD,NA
2015,2803WBRLCM5CRRE,1.10046E+11,BORAL COMPOSITE INC,500 CORRELL ST,EAST SPENCER,ROWAN,NC,28039,,,35.67498,-80.4347,NO,326,Plastics and Rubber,,,,,,,326150,,,,,,1.31521E+12,LEAD,7439921,149583,YES,PBT,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,140,0,0,0,0,0,0,0,140,,PRODUCTION,1.12,BORAL USA,NA
2015,28111TLDYN2020A,1.1E+11,ALLVAC - MONROE PLANT,2020 ASHCRAFT AVE,MONROE,UNION,NC,28110,,,34.98548,-80.517139,NO,331,Primary Metals,,,,,,,331492,,,,,,1.31521E+12,COBALT,7440484,150078,YES,TRI,YES,1,YES,R,Pounds,1,2.4,1.73,0,0,0,0,0,0,0,0,0,0,0,5.13,1.65,0,1.65,0,0,0,0,0,0,0,0,0,0,70.55,0,0,0,0,0,0,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.98,0,0,5.13,71.078,1.122,0,0,0,0,0,0,77.33,,PRODUCTION,1.1,ALLEGHENY TECHNOLOGIES INC,949262737
2015,28328CMPBL224FA,1.1E+11,CAMPBELL OIL & GAS CO,224 FAISON HWY,CLINTON,SAMPSON,NC,28328,,,35.00735,-78.30882,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1.31521E+12,XYLENE (MIXED ISOMERS),1330207,84970,YES,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ACTIVITY,1,CAMPBELL OIL & GAS CO,NA
2015,28456FDRLPRIEGE,1.1001E+11,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,,,34.3522,-78.2125,NO,322,Paper,,,,,,,322110,322121,,,,,1.31521E+12,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",7664939,152405,NO,TRI,NO,0,NO,R,Pounds,0,37080,0,0,0,0,0,0,0,0,0,0,0,0,37080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37080,0,0,37080,0,0,0,0,0,0,0,0,37080,,PRODUCTION,0.97,INTERNATIONAL PAPER CO,1316561
2015,28456FDRLPRIEGE,1.1001E+11,INTERNATIONAL PAPER RIEGELWOOD MILL,865 JOHN L.RIEGEL RD,RIEGELWOOD,COLUMBUS,NC,28456,,,34.3522,-78.2125,NO,322,Paper,,,,,,,322110,322121,,,,,1.31521E+12,FORMALDEHYDE,50000,1008,YES,TRI,NO,0,YES,R,Pounds,17,20694,2135,0,0,0,0,0,24,0,0,0,0,0,22870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22870,0,24,22846,0,0,0,0,0,0,16412,0,39282,,PRODUCTION,0.97,INTERNATIONAL PAPER CO,1316561
2015,28012DKNRG253PL,1.1E+11,DUKE ENERGY CAROLINAS LLC - ALLEN STEAM STATION,253 PLANT ALLEN RD,BELMONT,GASTON,NC,28012,,,35.190083,-81.008748,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1.31521E+12,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,755371,YES,Dioxin,NO,0,NO,R,Grams,0,0.0006522,0,0,0,0,0,0,0,0,0,0,0,0,0.2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2961,0,0,0.3,0,0,0,0,0,0,0,0,0.3,,PRODUCTION,1,DUKE ENERGY CORP,6996052
2015,28012DKNRG253PL,1.1E+11,DUKE ENERGY CAROLINAS LLC - ALLEN STEAM STATION,253 PLANT ALLEN RD,BELMONT,GASTON,NC,28012,,,35.190083,-81.008748,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1.31521E+12,MANGANESE COMPOUNDS,N450,650010,YES,TRI,YES,1,NO,R,Pounds,1,18,2408,0,0,0,0,0,25000,0,0,0,4600,0,32027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32027,0,25000,7000,0,0,0,0,0,0,0,0,32000,,PRODUCTION,1,DUKE ENERGY CORP,6996052
2015,27610JNMTS4020A,1.1E+11,AJINOMOTO NA INC,4020 AJINOMOTO DR,RALEIGH,WAKE,NC,27610,,,35.77127,-78.56609,NO,325,Chemicals,,,,,,,325411,,,,,,1.31521E+12,METHANOL,67561,4283,YES,TRI,NO,0,NO,R,Pounds,371.26,2345.14,0,0,0,0,0,0,0,0,0,0,0,0,2716.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716.4,0,0,2716.4,0,0,0,0,0,0,929727.74,0,932444.14,,PRODUCTION,0.89,AJINOMOTO N.A. INC,1853852
2015,27962WYRHSTROWB,1.10014E+11,DOMTAR PAPER CO LLC-PLYMOUTH MILL,TROWBRIDGE RD,PLYMOUTH,MARTIN,NC,27962,,,35.861716,-76.779683,NO,322,Paper,,,,,,,322110,,,,,,1.31521E+12,FORMIC ACID,64186,3830,NO,TRI,NO,0,NO,R,Pounds,0,6,356,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,362,0,0,0,0,0,0,0,0,362,,PRODUCTION,1.06,DOMTAR CORP,1306992
